SL_No	Credit	H1_Ch_Title	H2_Sec_Title	H3_Sec_Title	Credits	Item_Count	Min_Points_1	Min_Points_2	Min_Points_3	Community Center	Gym	Pool	Sports Complex	Attractions (e.g. zoo)	Library	Museum/Gallery	Visitor Center	College/University	K-12 School	Preschool/Daycare	Banquet Facility	Cafeteria	Fast Food	Restaurant/Café/Bar	Clinic/Outpatient Medical Office	Hospital	Nursing Home/Assisted Living	Bank	Convenience Store	Grocery/Food Market	Large Retail Store	Shopping Mall	Store/Boutique	General	Data Center	Distribution/Shipping	Self-Storage Unit	Manufacturing	Power Station/Plant	Dormitory	Hotel/Motel/Inn	Administrative/Professional Office	Government Office	Convention Center	Entertainment (e.g. concert hall)	Stadium/Arena	Religious Services	Police Station	Fire/Rescue Station
1	1	Design Process			4	0	0	0	0																																								
2	1.1	Design Process	Project Development Team		2	6	3	5	0																																								
3	1.2	Design Process	Universal Design Education		2	3	0	2	0																																								
4	2	Space Clearances			7	0	0	0	0																																								
5	2.1	Space Clearances	Clear Floor Space		2	2	1	2	0																																								
6	2.2	Space Clearances	Turning Space		2	7	3	5	0																																								
7	2.3	Space Clearances	Knee and Toe Clearance		1	6	4	0	0																																								
8	2.4	Space Clearances	Reach Targets		2	8	5	6	0																																								
9	3	Circulation			15	0	0	0	0																																								
10	3.1	Circulation	Wayfinding		2	9	3	5	0																																								
11	3.2	Circulation	Signs		1	11	5	0	0																																								
12	3.3	Circulation	Circulation Spaces		1	7	4	0	0																																								
13	3.4	Circulation	Entrances and Exits		2	11	4	5	0																																								
14	3.5	Circulation	Emergency Exits and Areas of Rescue Assistance		1	5	2	0	0																																								
15	3.6	Circulation	Doors		2	18	5	6	0																																								
16	3.7	Circulation	Stairways		1	10	4	0	0																																								
17	3.8	Circulation	Ramps		1	3	2	0	0																																								
18	3.9	Circulation	Handrails		1	3	1	0	0																																								
19	3.1	Circulation	Elevators		1	6	3	0	0																																								
20	3.11	Circulation	Escalators		1	2	1	0	0																																								
21	3.12	Circulation	Moving Walkways		1	4	2	0	0																																								
22	4	Environmental Quality			7	0	0	0	0																																								
23	4.1	Environmental Quality	Illumination		3	0	0	0	0																																								
24	4.1.1	Environmental Quality	Illumination	Electric Lighting	1	7	4	0	0																																								
25	4.1.2	Environmental Quality	Illumination	Electric Lighting Controls	1	6	5	0	0																																								
26	4.1.3	Environmental Quality	Illumination	Daylighting	1	6	4	0	0																																								
27	4.2	Environmental Quality	Acoustics		1	7	4	0	0																																								
28	4.3	Environmental Quality	Thermal Comfort		2	0	0	0	0																																								
29	4.3.1	Environmental Quality	Thermal Comfort	Thermal Comfort Systems	1	6	4	0	0																																								
30	4.3.2	Environmental Quality	Thermal Comfort	Temperature Controls	1	5	3	0	0																																								
31	4.4	Environmental Quality	Indoor Air Quality		1	4	3	0	0																																								
32	5	Site			15	0	0	0	0																																								
33	5.1	Site	Site Access Points		1	5	3	0	0																																								
34	5.2	Site	Site Design		3	12	5	6	7																																								
35	5.3	Site	Pedestrian Routes		2	7	2	3	0																																								
36	5.4	Site	Street Crossings		2	10	5	6	0																																								
37	5.5	Site	Bicycle Routes		1	3	1	0	0																																								
38	5.6	Site	Transit Stops		2	13	6	7	0																																								
39	5.7	Site	Parking		3	0	0	0	0																																								
40	5.7.1	Site	Parking	Parking Facilities	2	13	6	7	0																																								
41	5.7.2	Site	Parking	Parking Payment Systems	1	6	1	0	0																																								
42	5.8	Site	Passenger Loading and Waiting Areas		1	5	2	0	0																																								
43	6	Rooms and Spaces			30	0	0	0	0																																								
44	6.1	Rooms and Spaces	Spatial Organization		1	3	1	0	0																																								
45	6.2	Rooms and Spaces	Toilet and Bathing Rooms		8	2	0	0	0																																								
46	6.2.1	Rooms and Spaces	Toilet and Bathing Rooms	General Toilet and Bathing Facility Features	2	13	7	9	0																																								
47	6.2.2	Rooms and Spaces	Toilet and Bathing Rooms	Private Toilet and Bathing Rooms/Compartments	1	11	4	0	0																																								
48	6.2.3	Rooms and Spaces	Toilet and Bathing Rooms	Toilets	1	5	2	0	0																																								
49	6.2.4	Rooms and Spaces	Toilet and Bathing Rooms	Urinals	1	6	4	0	0																																								
50	6.2.5	Rooms and Spaces	Toilet and Bathing Rooms	Lavatories	1	4	3	0	0																																								
51	6.2.6	Rooms and Spaces	Toilet and Bathing Rooms	Dispensers and Hand Drying Equipment	1	3	1	0	0																																								
52	6.2.7	Rooms and Spaces	Toilet and Bathing Rooms	Shower and Bathing Areas	1	8	5	0	0																																								
53	6.3	Rooms and Spaces	Changing Areas		1	3	2	0	0																																								
54	6.4	Rooms and Spaces	Nursing Rooms		1	3	2	0	0																																								
55	6.5	Rooms and Spaces	Waiting Areas		1	9	4	0	0																																								
56	6.6	Rooms and Spaces	Office Spaces		1	3	2	0	0																																								
57	6.7	Rooms and Spaces	Meeting Rooms and Classrooms		2	7	3	4	0																																								
58	6.8	Rooms and Spaces	Public Assembly Spaces		2	0	0	0	0																																								
59	6.8.1	Rooms and Spaces	Public Assembly Spaces	Configuration	1	5	3	0	0																																								
60	6.8.2	Rooms and Spaces	Public Assembly Spaces	Aisles	1	4	2	0	0																																								
61	6.9	Rooms and Spaces	Food Service Areas		2	7	2	3	0																																								
62	6.1	Rooms and Spaces	Retail Spaces		3	0	0	0	0																																								
63	6.10.1	Rooms and Spaces	Retail Spaces	Aisles	1	5	3	0	0																																								
64	6.10.2	Rooms and Spaces	Retail Spaces	Product Displays	1	4	2	0	0																																								
65	6.10.3	Rooms and Spaces	Retail Spaces	Pricing and Product Information	1	3	2	0	0																																								
66	6.11	Rooms and Spaces	Sleeping Rooms		3	16	7	8	9																																								
67	6.12	Rooms and Spaces	Storage Spaces		1	5	2	0	0																																								
68	6.13	Rooms and Spaces	Laundry Facilities		1	3	2	0	0																																								
69	6.14	Rooms and Spaces	Play Areas		1	6	4	0	0																																								
70	6.15	Rooms and Spaces	Pet and Service Animal Relief Areas		1	4	3	0	0																																								
71	6.16	Rooms and Spaces	Exercise Spaces		1	4	2	0	0																																								
NEW	6.17	Rooms and Spaces	Arts and Cultural Exhibits and Displays																																														
NEW		Rooms and Spaces	(Healthcare)																																														
72	7	Furnishings and Equipment			12	0	0	0	0																																								
73	7.1	Furnishings and Equipment	Seats		1	9	3	0	0																																								
74	7.2	Furnishings and Equipment	Tables		1	2	1	0	0																																								
75	7.3	Furnishings and Equipment	Furniture and Surfaces		1	3	1	0	0																																								
76	7.4	Furnishings and Equipment	Sales and Service Counters		1	5	3	0	0																																								
77	7.5	Furnishings and Equipment	Work Stations		1	11	5	0	0																																								
78	7.6	Furnishings and Equipment	Waste Receptacles		1	3	2	0	0																																								
79	7.7	Furnishings and Equipment	Drinking Fountains		1	3	2	0	0																																								
80	7.8	Furnishings and Equipment	Lockers		1	2	1	0	0																																								
81	7.9	Furnishings and Equipment	Transaction Machines		1	7	5	0	0																																								
82	7.1	Furnishings and Equipment	Telephones and Computers		1	4	2	0	0																																								
83	7.11	Furnishings and Equipment	Equipment		1	3	1	0	0																																								
84	7.12	Furnishings and Equipment	Vegetation		1	3	2	0	0																																								
85	8	Services			6	0	0	0	0																																								
86	8.1	Services	Customer Services		1	5	3	0	0																																								
87	8.2	Services	Purchasing Services		1	10	3	0	0																																								
88	8.3	Services	Child Care Services		1	4	3	0	0																																								
89	8.4	Services	Food Services		1	9	2	0	0																																								
90	8.5	Services	On-site Services		1	13	2	0	0																																								
91	8.6	Services	Websites and Smartphone Applications		1	3	2	0	0																																								
92	9	Policies			4	0	0	0	0																																								
93	9.1	Policies	Facility Management Policies		2	14	6	8	0																																								
94	9.2	Policies	Health and Safety Policies		1	15	5	0	0																																								
95	9.3	Policies	Employment Policies		1	5	3	0	0																																								
